Modèle,Moyenne,Médiane,Min,Max,Écart-type,Q1 (25%),Q3 (75%),N_Valides,MAD Moyenne,MAD Médiane,MAD Min,MAD Max,MAD Écart-type,N_Valides,Turnover Moyen,Turnover Médian,Turnover Min,Turnover Max,Turnover Écart-type,N_Valides
Linear_Simple,0.0217668168472463,0.02019019064799578,0.0076439411590073095,0.07998108487569795,0.01366528001901093,0.01189664666682888,0.028319904037195507,33,,,,,,,,,,,,
Linear_WF,0.020424410050055172,0.015783810983699596,0.008364823472680125,0.08834092703546816,0.014552720900125733,0.013119003476726733,0.024716436911228826,33,0.051307083548508325,0.05046296647199979,0.01019075175159626,0.0799306895365531,0.01679720905827197,33.0,0.3009870482701374,0.27440771692529975,0.07603392527774357,0.5632287174884328,0.10728999819440796,33.0
Ridge,0.020672627117188213,0.01715330900570358,0.008034702219349443,0.08724590067374213,0.014155682043575037,0.013840088695907058,0.024295668110982226,33,0.03940852393265863,0.040081434750542294,0.00010875650970294923,0.07304677112391317,0.015669015959687754,33.0,0.23035128801689608,0.2333751226058605,0.0006872097281532356,0.5065685921791381,0.0990018342211839,33.0
Genetic,0.021235598485831435,0.017539916855264893,0.008229109702854034,0.06703369157876443,0.012017782630737918,0.013970470770577035,0.027814509046893955,33,0.08269136132076492,0.07346766132563454,0.041036936372471765,0.17583586233243784,0.03502462232825627,33.0,0.9082233680572176,0.8036941905275802,0.43806795766245793,2.452757862051407,0.45379557299086837,33.0
MeanVar,0.020950039203437937,0.0172876125642097,0.008465331260426465,0.08500444237051503,0.013978090052449939,0.012860260600124199,0.026062434019630213,33,0.031067620168355004,0.030852368465010372,0.011071693895535901,0.0493746545620831,0.011194491431586972,33.0,0.17548210801908498,0.16756219799833494,0.07511843759589523,0.3787433568121775,0.06090202136516777,33.0
