DATE;MSCI ACWI IMI Accelerating Change Index;MSCI ACWI IMI Ageing Society Opportunities Index;MSCI ACWI IMI Blockchain Economy Index;MSCI ACWI IMI Clean Energy Infrastructure Index;MSCI ACWI IMI Digital Economy;MSCI ACWI IMI Disruptive Technology;MSCI ACWI IMI Future Education Index;MSCI ACWI IMI Efficient Energy Index;MSCI ACWI IMI Food Revolution Index;MSCI ACWI IMI Fintech Innovation Index;MSCI ACWI IMI Genomic Innovation Index;MSCI ACWI IMI Next Generation Internet Innovation;MSCI ACWI IMI Digital Health;MSCI ACWI IMI Innovation Index;MSCI ACWI IMI Future Mobility Index;MSCI ACWI IMI Millennials Index;MSCI ACWI IMI Immuno-oncology Index;MSCI ACWI IMI Natural Resources Stewardship Index;MSCI ACWI IMI Plastics Transition Index;MSCI ACWI IMI Robotics Index;MSCI ACWI IMI Cybersecurity Index;MSCI ACWI IMI Sharing Economy Index;MSCI ACWI IMI Smart Cities Index;MSCI ACWI IMI Space Exploration Index;MSCI ACWI IMI Sustainable Water Transition Index;MSCI ACWI IMI Robotics & AI index;MSCI ACWI IMI Resilient Future Index;MSCI ACWI IMI Smart Security & Defense Index;MSCI ACWI IMI Future Mobility ESG Filtered Index;MSCI ACWI IMI Digital Economy ESG Filtered Index;MSCI ACWI IMI INNOVATION SELECT ESG SCREEN 200;MSCI ACWI IMI FINTECH INNOVATION SELECT ESG SCREEN 100;MSCI ACWI IMI GENOMIC INNOVATION SELECT ESG SCREENED 100;MSCI ACWI IMI SDG 3 Good Health and Well-being Select Index;MSCI ACWI IMI SDG 6 Clean Water and Sanitation Select Index;MSCI ACWI IMI SDG Impact Select Index;MSCI ACWI IMI Virology Index;MSCI ACWI IMI SDG 11 Sustainable Cities and Communities Select Index;MSCI ACWI IMI SDG 12 Responsible Consumption and Production Select Index;MSCI ACWI IMI SDG Social Fairness Select Index
01/07/2020;0.00792669253225953;0.005297468547232561;0.014071864456865956;0.004612431438923602;0.015011796798556453;0.0079203787720667;0.009138547578172512;0.00851435146808944;0.00033283714806458045;0.012924241401410259;-0.0008050017293447607;0.013357414464751706;0.005375943847708246;0.009656614955551744;-0.006185137343038279;0.01259515922299724;;-0.005318611453876421;-0.0064606486361988525;-0.002589271016507254;0.01598884297791315;0.011739496551933206;-0.0017503664488594398;-0.003563270709487479;-2.71194052390502e-05;0.010417851325272117;;;;;0.011646879342348988;0.012385752685066947;0.0037799027496645187;0.006403752282043851;-0.00107198180214023;0.007687902045365708;;-0.006139888416850115;0.005755603620162981;
02/07/2020;0.012227302807835204;0.008422497568248092;0.010632766671168662;0.020728090986415645;0.00966927490871156;0.008048870869299842;0.01854042992888545;0.017226699953008774;0.015806345866027926;0.012658134113114094;0.008179258016552003;0.008706867406013051;0.00784890332203242;0.009812313049040646;0.01994266773308059;0.008155039378418003;;0.00856375387981236;0.0045247291836490195;0.004883945956638589;0.003917196836289595;0.01358404854756073;0.008364726270839788;0.0034334876747619063;0.011889612013573954;0.006040288503538317;;;;;0.010727740035435751;0.012481048419202926;0.00947122097190378;0.007990135768093386;0.00987629080912389;0.01660641505461006;;0.008544726210055802;0.017135830483023244;
03/07/2020;0.001955215667835597;0.0003786188525143638;-0.0011990905200431616;0.002834194270203919;0.0028064577460713575;0.001632600104875626;0.0006478079624020011;0.009042536468519389;0.0034295956884391834;0.003654625685242355;0.00011956546181615251;0.0011875845688488255;0.0001731783474588201;0.001681280958829573;0.0011578422213961838;0.0028673856953486897;;-0.0029710464913705686;-0.000733684010839393;0.005530214585607447;0.00041246952171320394;0.003329989983282155;0.004838525421057279;-0.0002430928816136508;-0.0010534623138351172;0.002297389521769451;;;;;0.00129818152484112;0.004017831311666374;-0.00033838576284867325;-0.0007774941063377049;0.0003648814707347085;0.0026406667429027236;;-0.001042317831618039;0.002640856680049296;
04/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/07/2020;0.02563134211446492;0.015425882621514042;0.022883394252706874;0.03146122399484599;0.020064215381191172;0.013379532930705982;0.016250977377844245;0.027621034632791048;0.012813864702789569;0.017774699720789114;0.010646086317039831;0.022082709936599453;0.012634583499485763;0.019441738339156536;0.036920477530795574;0.018341307007893336;;0.015253687349504875;0.010174380792146076;0.018908177465386585;0.010497588665369359;0.0175193714755542;0.01725336353523424;0.01779636649724011;0.015149967327158077;0.023377600212254334;;;;;0.020620540610890848;0.017378780962677972;0.010973515257128896;0.01148635198389961;0.010911655782473809;0.02828224918056086;;0.022624440171729467;0.027220837292288528;
07/07/2020;-0.0011562690126852907;-0.01400828279840261;-0.0017604905346185688;0.002182088559577141;-0.005685101156010857;-0.007014198826173478;-0.014734638920494343;-0.005503687117475959;0.0016662058138809661;-0.007368220527217334;0.005491887785555303;-0.00786503677763977;-0.009026093805052992;-0.004514627932007993;-0.0017758758267369162;-0.005801732320245663;;-0.013094935592442337;-0.013480968450011288;-0.009770559959628259;-0.0029694789167974186;-0.006691928703985818;-0.0076386255991219044;-0.024529010458537084;-0.0073959778085992125;-0.008214842763496212;;;;;-0.005967496696921581;-0.0070701150843983495;0.005633372755902996;-0.004917610109049875;-0.00834170478923241;-0.0017217339353652412;;-0.010989509945069824;-0.006105355057798081;
08/07/2020;0.013506249093290335;0.00407047998211892;0.023973370637710382;0.006612200513490372;0.02203736965726872;0.012593526240982604;0.017189178242923663;0.018596017312706884;0.0006251235554035095;0.02639748068848359;0.01015314991033565;0.023240079559163972;0.00625346397983835;0.01779121446205025;0.00031600007237631586;0.016022252712236774;;-0.003469983675449169;-0.011539919441630568;0.0058180207274658655;0.02798653211854482;0.023938729618141485;0.007095115461350139;0.0026970050358710133;0.0006093767162979409;0.01981513878972249;;;;;0.018091196994163578;0.025542424670058957;0.01201558280438441;0.0013948994291410606;0.0019334129114416752;0.0018932437862607713;;0.005522452495224662;0.0027184367443934794;
09/07/2020;0.007355547200259555;-0.009431643739938803;0.0012512593729053112;0.002166876241091703;0.010878511361603019;0.0033158009036351934;0.007838437621377701;0.005577861344900374;-0.0022046608761687164;0.00963382863495512;0.004618462631588779;0.010085479617930871;-0.0016108080020784147;0.008972968036926892;0.0028754028697178242;0.006874074511366578;;-0.014582723768462603;-0.017139579707321995;0.002090623107951199;0.0177986893055303;0.011572849995925267;-0.00034256004178676985;-0.020286744832031398;-0.004992449494234342;0.010577777335360774;;;;;0.009923832477496421;0.009739755988457643;0.004665133293057466;-0.004582079416646274;-0.008157766458540895;-0.001984833967763347;;-0.009183417271710768;-0.000323844961493987;
10/07/2020;0.006113495042730767;0.00185436696255601;-0.007360575982784638;0.011450761372289292;0.0003461282798604903;-0.0013092667578226145;-0.0005151414799278814;8.462915391645875e-05;0.00805325709773545;-0.003597158461325554;-0.008979622224112974;0.0015616004038077956;-0.0034818361611325356;-0.0013002516894222694;0.01338887715085215;0.0037783086095893575;;0.01347626325557239;0.019499782541074935;0.0011991075114692103;-0.004894027534526043;-0.00352233879392823;0.002429186488030745;0.008638799693027405;0.012029460342054162;0.0038719458764842458;;;;;-0.00013883237902397808;-0.0035311517242906138;-0.008470742598747989;-0.003040162733760117;0.010073263161410575;0.013184331900559605;;0.011746399987892338;0.012957739057547588;
