DATE;MSCI ACWI IMI Consumer Discretionary Index;MSCI ACWI IMI Consumer Staples Index;MSCI ACWI IMI Energy Index;MSCI ACWI IMI Financials Index;MSCI ACWI IMI Healthcare Index;MSCI ACWI IMI Industrials Index;MSCI ACWI IMI Information Technology Index;MSCI ACWI IMI Materials Index;MSCI ACWI IMI Real Estate Index;MSCI ACWI IMI Communication Services Index;MSCI ACWI IMI Utilities Index
01/07/2020;0.01061097492040392;0.0021961487991144467;-0.004177048219258549;-0.0018980813508464233;0.005865961656999942;-0.0017261280059419702;0.0025679799832383035;0.0011815702756623827;0.017459578430542622;0.015106539523113385;0.013853716669149514
02/07/2020;0.014718280174230705;0.007819892622712163;0.011922798608779333;0.012431148899604377;0.007113023560682824;0.009122997676895162;0.007180522701541108;0.012853434769466699;0.01020238367618618;0.0069549772509683696;0.009550810942387198
03/07/2020;0.0013847059230795798;-0.0022453353947027885;-0.001599468394339426;0.0005200756194815121;-6.893104619473081e-05;-0.00029811539471992645;0.0025692315942077004;-0.0012531291747058953;0.0014927677973953072;0.002144133412745684;0.0006610960825533398
04/07/2020;;;;;;;;;;;
05/07/2020;;;;;;;;;;;
06/07/2020;0.03413699493844026;0.009954831472465306;0.011150856740079144;0.024520199605029082;0.011075952069906823;0.01771185666770986;0.01902763711105043;0.016475809983832808;0.010043174342105362;0.018067276833472153;-0.0014508089626057569
07/07/2020;-0.012398857257437645;0.001756046617441015;-0.01980697907840363;-0.015309896389683891;-0.008014415894442954;-0.011240234035362364;-0.008307032266515803;0.0006724387556930882;-0.01804451591235232;-0.004201262348406048;-0.005337271103953476
08/07/2020;0.01428619790785081;-0.0006215288765187367;-0.0041164363422522485;0.004476222873516226;-3.457814661133274e-05;-0.001981252350939838;0.013834478912369231;-0.0020019200279071414;-0.003057501761950215;0.009904703159497435;0.008781421893039194
09/07/2020;0.008376093715259691;-0.006625307224933564;-0.02874514668540202;-0.01341004207047059;-0.00508316331823356;-0.013465353511598166;0.005127077930089008;-0.0012245452807886322;-0.006216927091455383;0.006017397584695458;-0.013701712059052303
10/07/2020;0.007018240805111406;0.012385548973047176;0.01584366614847519;0.015303220307768085;-0.0019810927290422075;0.0065032737568572535;-0.000869109203122866;0.005422932082753923;-0.0016319527989036055;0.010054316422050251;0.012393950571744628
11/07/2020;;;;;;;;;;;
12/07/2020;;;;;;;;;;;
13/07/2020;-0.007944924023200215;0.003337907444307589;0.004390504031966061;0.0063935186199809224;0.006659192600393063;0.009054547052876722;-0.015171385068631239;0.010571897702817055;-0.006580395033268688;-0.01258581235697944;0.004882314362748856
14/07/2020;-0.0024947331733612614;0.0054182222837756665;0.019391408114558372;0.0012049002786047537;0.010019666806350355;0.006621074182166766;0.007595998398954428;0.008935390255078902;0.0033436349636629774;0.0024781548472086364;0.002973168963016567
15/07/2020;0.01135817475105318;0.00770276393294048;0.014119796298061574;0.014266269114656902;0.017236215237903734;0.025028845665617805;0.005319891453757766;0.015764568045587825;0.006759597998402033;0.00682002080684301;0.003470464897693642
16/07/2020;-0.009212742141485854;-0.0036287227951423487;-0.0031963121136659297;-0.0018772429728718032;-0.006171136574505417;-0.0019672011290610913;-0.012817311067860713;-0.003017109789915047;-0.011590631428362495;-0.005335582422847739;0.007671799436365136
17/07/2020;-0.0006923525207082107;0.003659172328982674;-0.008317217552803503;-0.006064690026954219;0.012778794657989367;0.0021557529882976407;0.006233208024911952;0.005633160176735374;0.007141574315687156;-0.0013287884944057932;0.01553460992698029
18/07/2020;;;;;;;;;;;
19/07/2020;;;;;;;;;;;
20/07/2020;0.02385613324927831;-0.0046194096966723055;-0.010677197601287096;0.000968523002421275;0.0037525042273374833;-0.0012663587306557325;0.023761319320755852;0.006243728397814649;-0.004059454753338303;0.009247485839787281;-0.004489282897142779
21/07/2020;0.0021220262944100306;0.009158487001519491;0.042312317776696376;0.015965166908563148;0.0007047321392382384;0.008961027982077915;-0.00430623900563673;0.007057126155865707;0.003686305900195901;0.006070886631336408;0.00587693832755088
22/07/2020;-0.0033634099802721737;0.0031336480546963847;-0.0102836879432624;-0.0017786808086210613;0.0028996269514687447;0.004237672676361598;0.005759870200108161;0.005539203986650152;0.005015950302216223;-0.0047814207650273425;0.008587920596930948
23/07/2020;-0.011868886308845009;0.008399236557360492;-0.002501318183662814;-0.0023584734062168026;-0.004053458134385871;-0.0022740091035728565;-0.020535945251101737;-0.00034288930010230393;-0.0033411990728173047;-0.010752688172043001;-0.0009359344524827957
24/07/2020;-0.005385878489326743;-0.00399601457022179;-0.002371030320448416;-0.007791023189843268;-0.013278174417828775;-0.007986285331995333;-0.012135392572137416;-0.003170237664043867;-0.006254321453265357;-0.006586961784548306;-0.006839086938706409
25/07/2020;;;;;;;;;;;
26/07/2020;;;;;;;;;;;
27/07/2020;0.012381958660767332;0.007759456838021414;0.0023766654663306486;-0.0014462013112226636;0.00811808142155641;0.007110389806216565;0.019288493607559673;0.020464946000366094;0.005545189074079921;0.005014915626371053;-0.0034520297113890953
28/07/2020;-0.009686572518835014;0.003970749614412187;-0.00984336830004313;-0.0026359626997062586;0.0012427798999691912;-0.0058559884967859625;-0.007492140807714002;-0.008251417091196103;0.012455049641969737;-0.0018531387537640302;0.009583944884508252
29/07/2020;0.007172197330524538;0.00423424143165302;0.009796096074305255;0.010364347522605953;0.006532006833484303;0.008112396400478466;0.011758564795736101;-0.0010391114078495314;0.01456959128516836;0.006899947055878401;0.003996507257758249
